state_id,name
1,Andhra Pradesh (AP)
2,Arunachal Pradesh (ANP)
3,Assam (AS)
4,Bihar (BR)
5,Chhattisgarh (CG)
6,Goa (GA)
7,Gujarat (GJ)
8,Haryana (HR)
9,Himachal Pradesh (HP)
10,Jammu and Kashmir (JK)
11,Jharkhand (JH)
12,Karnataka (KA)
13,Kerala (KL)
14,Madhya Pradesh (MP)
15,Maharashtra (MH)
16,Manipur (MN)
17,Meghalaya (ML)
18,Mizoram (MZ)
19,Nagaland (NL)
20,Odisha (OD)
21,Punjab (PB)
22,Rajasthan (RJ)
23,Sikkim (SK)
24,Tamil Nadu (TN)
25,Telangana (TS)
26,Tripura (TR)
27,Uttar Pradesh (UP)
28,Uttarakhand (UK)
29,West Bengal (WB)
30,Andaman and Nicobar (A&N)
31,Chandigarh (CHD)
32,Dadra and Nagar Haveli (DNH)
33,Daman and Diu (DD)
34,Lakshadweep (LD)
35,Delhi (DL)
36,Puducherry (PY)